packet_size,interarrival_ms,src_port,dst_port,service_port,label
1278,1.943,31263,21,21,file
301,4.183,44550,10000,10000,voip
1282,5.62,5163,990,990,file
467,250.714,25695,443,443,web
60,43.796,57866,10000,10000,voip
1090,199.683,64851,443,443,web
1275,54.982,11390,8554,8554,video
1197,7.225,47692,8081,8081,file
719,56.896,45199,5005,5005,video
1160,3.979,45185,989,989,file
192,25.79,34926,5060,5060,voip
543,613.31,63523,443,443,web
189,58.763,40105,8080,8080,web
588,455.192,29494,8080,8080,web
1132,230.204,21198,8080,8080,web
1500,50.266,36198,5005,5005,video
811,292.276,1637,8080,1637,web
1198,3.705,13997,20,20,file
136,13.16,19910,5061,5061,voip
1174,2.605,24131,8080,8080,file
191,12.113,28553,8080,8080,voip
1500,6.625,18214,20,20,file
131,18.678,44396,10002,10002,voip
1338,6.984,18767,8081,8081,file
1074,49.218,21538,8554,8554,video
144,34.698,19435,8443,8443,voip
1129,47.602,52669,8080,8080,video
597,126.747,53929,8080,8080,web
1448,82.123,16040,5004,5004,video
1357,7.896,33930,8081,8081,file
1413,2.984,8857,20,20,file
1365,0.994,59861,443,443,file
1420,3.735,54582,443,443,file
1123,22.078,10605,8080,8080,video
162,33.095,2581,5061,2581,voip
1131,23.42,62018,5004,5004,video
1004,5.405,52733,8080,8080,file
788,242.563,38938,8080,8080,web
580,102.102,57690,8080,8080,web
666,53.99,56085,443,443,web
1500,1.819,4984,8081,4984,file
1022,36.345,37606,1935,1935,video
157,9.936,40278,443,443,voip
1091,20.104,40291,8080,8080,video
267,26.101,34536,5060,5060,voip
341,22.169,16370,8443,8443,voip
1463,4.69,44039,989,989,file
959,7.418,11730,989,989,file
163,8.611,16289,8443,8443,voip
113,18.16,44567,10001,10001,voip
747,219.94,27671,8443,8443,web
1294,82.392,58192,5005,5005,video
1049,6.281,22468,8080,8080,file
169,17.366,48240,8443,8443,voip
218,25.101,30979,5060,5060,voip
1167,3.965,56640,21,21,file
269,345.151,38391,80,80,web
220,310.241,11403,8080,8080,web
1051,81.068,64931,443,443,web
1164,2.484,49765,990,990,file
120,24.949,8642,10001,8642,voip
1500,86.694,38577,5005,5005,video
1173,5.577,14184,20,20,file
1500,5.315,28986,990,990,file
212,17.02,23397,5060,5060,voip
99,406.603,35554,8080,8080,web
536,1000.0,33469,8443,8443,web
1442,9.763,35093,989,989,file
1341,4.288,44685,990,990,file
132,16.101,38916,8443,8443,voip
523,398.305,35064,80,80,web
155,38.114,38997,10000,10000,voip
1500,1.177,3278,8080,3278,file
1500,106.874,49566,8554,8554,video
392,83.548,8107,443,443,web
1500,3.163,42906,8443,8443,file
1183,32.112,7550,8080,7550,video
1324,39.38,45712,5004,5004,video
227,15.209,35336,10000,10000,voip
1084,28.436,18105,1935,1935,video
149,10.977,55041,10001,10001,voip
200,20.651,45956,8080,8080,voip
843,16.232,11891,5005,5005,video
159,18.912,51518,10002,10002,voip
966,47.317,11246,5004,5004,video
1500,9.149,19190,989,989,file
568,718.294,56330,80,80,web
1051,24.17,7074,8080,7074,video
200,37.122,27852,10001,10001,voip
192,22.135,34552,10000,10000,voip
202,13.799,19071,8080,8080,voip
1341,62.479,61507,8080,8080,video
121,9.543,45617,8080,8080,voip
1184,39.357,10483,5004,5004,video
