controller,event_id,traffic_type,src,dst,path,throughput_mbps,delay_ms,install_ms,cpu_percent,rerouted,congestion_handled,overloaded_links
ryu,0,video,h2,h4,s2->s3->s4,5.609,12.632,45.088,21.045,False,False,0
ryu,1,video,h2,h4,s2->s3->s4,5.362,11.428,43.537,22.961,False,False,0
ryu,2,video,h2,h4,s2->s3->s4,6.133,12.587,43.004,20.38,False,False,0
ryu,3,voip,h2,h3,s2->s3,0.111,3.903,47.297,19.084,False,False,0
ryu,4,file,h3,h1,s3->s2->s1,10.789,9.596,42.266,21.19,False,False,0
ryu,5,video,h4,h3,s4->s5->s6->s3,5.982,27.099,41.751,19.801,False,False,0
ryu,6,file,h3,h1,s3->s2->s1,13.053,8.716,42.132,20.509,False,False,0
ryu,7,voip,h4,h6,s4->s3->s6,0.116,12.274,42.023,22.91,False,False,0
ryu,8,file,h3,h1,s3->s2->s1,13.411,9.172,43.724,23.668,False,False,0
ryu,9,video,h2,h4,s2->s3->s4,5.559,12.8,42.294,22.087,False,False,0
ryu,10,video,h4,h3,s4->s5->s6->s3,6.127,25.772,40.994,21.666,False,False,0
ryu,11,voip,h2,h3,s2->s3,0.119,4.673,41.807,23.501,False,False,0
ryu,12,voip,h2,h3,s2->s3,0.111,4.887,40.968,20.583,False,False,0
ryu,13,file,h3,h4,s3->s4,2.744,10.206,39.622,22.91,False,False,1
ryu,14,video,h1,h2,s1->s2,5.567,5.904,39.975,23.155,False,False,0
ryu,15,file,h6,h1,s6->s3->s2->s1,1.884,16.528,41.085,23.806,False,False,1
ryu,16,voip,h2,h3,s2->s3,0.108,5.604,43.694,20.614,False,False,1
ryu,17,file,h3,h5,s3->s2->s5,1.353,13.686,41.482,24.084,False,False,2
ryu,18,voip,h2,h3,s2->s3,0.123,7.141,41.285,22.903,False,False,1
ryu,19,voip,h2,h3,s2->s3,0.11,5.857,43.257,20.969,False,False,1
ryu,20,file,h3,h5,s3->s6->s5,8.49,15.64,40.674,21.169,True,True,0
ryu,21,web,h6,h3,s6->s3,0.913,6.462,40.806,21.016,False,False,0
ryu,22,file,h2,h6,s2->s1->s4->s5->s6,0.687,47.342,42.606,29.938,False,False,3
ryu,23,video,h2,h5,s2->s5,6.041,9.881,42.903,26.188,False,False,3
ryu,24,video,h4,h3,s4->s3,5.464,8.757,42.399,29.402,True,True,3
ryu,25,video,h6,h3,s6->s3,5.63,6.449,41.846,19.196,False,False,0
ryu,26,video,h6,h3,s6->s3,1.876,7.811,43.038,24.349,False,False,1
ryu,27,file,h3,h1,s3->s2->s1,7.875,9.239,43.208,20.877,False,False,1
ryu,28,web,h6,h3,s6->s5->s2->s3,0.635,27.583,44.764,27.898,False,False,3
ryu,29,web,h6,h3,s6->s1->s4->s3,1.011,41.568,45.535,25.266,True,True,3
ryu,30,voip,h4,h6,s4->s3->s6,0.116,14.579,41.979,24.514,False,False,2
ryu,31,web,h6,h3,s6->s1->s4->s3,0.949,40.526,43.404,23.426,False,False,0
ryu,32,web,h6,h3,s6->s1->s4->s3,0.96,40.476,42.567,18.112,False,False,0
ryu,33,file,h3,h1,s3->s2->s1,8.456,10.462,40.418,21.715,False,False,0
ryu,34,video,h2,h4,s2->s3->s4,5.758,13.432,32.937,22.659,False,False,0
ryu,35,voip,h2,h3,s2->s3,0.116,5.621,45.058,23.475,False,False,0
ryu,36,video,h1,h2,s1->s2,5.737,4.727,42.583,21.047,False,False,0
ryu,37,file,h3,h5,s3->s6->s5,5.04,18.852,53.602,20.5,False,False,0
ryu,38,file,h2,h6,s2->s1->s4->s5->s6,5.594,37.931,43.62,19.817,False,False,0
ryu,39,voip,h4,h6,s4->s3->s6,0.117,14.039,40.293,23.297,False,False,0
ryu,40,voip,h1,h4,s1->s4,0.109,13.182,46.945,21.094,False,False,0
ryu,41,video,h1,h2,s1->s2,5.93,4.585,40.718,21.324,False,False,0
ryu,42,video,h2,h4,s2->s3->s4,5.842,11.592,43.456,18.386,False,False,0
ryu,43,file,h1,h6,s1->s2->s3->s6,3.911,17.67,44.592,22.919,False,False,0
ryu,44,file,h3,h4,s3->s4,3.145,11.054,39.143,18.345,False,False,0
ryu,45,video,h1,h3,s1->s2->s3,3.173,11.739,42.935,20.4,False,False,1
ryu,46,video,h3,h5,s3->s2->s5,1.33,14.861,34.925,27.629,False,False,2
ryu,47,video,h2,h6,s2->s1->s4->s5->s6,1.853,44.583,42.216,26.033,False,False,2
ryu,48,video,h2,h4,s2->s3->s4,2.909,14.286,43.16,27.868,True,True,2
ryu,49,file,h6,h1,s6->s1,6.807,20.491,42.302,24.97,True,True,2
ryu,50,video,h5,h3,s5->s6->s3,0.729,20.669,37.183,20.838,False,False,1
ryu,51,web,h2,h1,s2->s1,0.945,7.339,38.744,25.991,False,False,2
ryu,52,voip,h1,h4,s1->s4,0.116,14.745,42.119,22.271,False,False,2
ryu,53,file,h3,h5,s3->s4->s5,5.152,19.971,41.546,25.909,True,True,1
ryu,54,voip,h2,h3,s2->s3,0.112,5.26,40.573,20.29,False,False,0
ryu,55,voip,h1,h4,s1->s4,0.115,12.413,39.858,19.585,False,False,0
ryu,56,video,h6,h3,s6->s3,5.3,5.932,40.502,19.397,False,False,0
ryu,57,file,h2,h5,s2->s5,1.03,10.383,43.166,23.712,False,False,1
ryu,58,video,h5,h3,s5->s6->s3,5.073,18.527,43.28,20.836,False,False,1
ryu,59,voip,h1,h4,s1->s4,0.12,13.268,43.244,23.504,False,False,1
ryu,60,file,h6,h2,s6->s3->s2,1.945,11.969,40.908,25.015,False,False,1
ryu,61,file,h6,h5,s6->s5,0.72,13.848,41.939,25.018,False,False,2
ryu,62,video,h2,h6,s2->s1->s6,5.943,25.009,40.347,20.447,True,True,1
ryu,63,web,h2,h1,s2->s1,0.991,4.758,43.726,22.964,False,False,1
ryu,64,voip,h2,h3,s2->s3,0.119,6.159,43.057,21.857,False,False,0
ryu,65,voip,h4,h6,s4->s3->s6,0.119,13.955,41.578,21.407,False,False,0
ryu,66,voip,h2,h3,s2->s3,0.118,5.043,45.128,22.054,False,False,0
ryu,67,voip,h1,h4,s1->s4,0.114,11.578,54.398,23.362,False,False,0
ryu,68,file,h3,h1,s3->s2->s1,12.31,8.12,58.706,23.809,False,False,0
ryu,69,file,h3,h5,s3->s4->s5,9.799,16.824,42.715,21.489,False,False,0
ryu,70,voip,h1,h4,s1->s4,0.108,12.479,44.242,21.052,False,False,0
ryu,71,file,h2,h4,s2->s3->s4,2.908,14.958,44.673,22.433,False,False,1
ryu,72,video,h4,h3,s4->s1->s2->s3,1.489,22.582,43.229,20.72,False,False,1
ryu,73,file,h6,h3,s6->s3,2.661,7.716,41.837,24.164,False,False,2
ryu,74,file,h3,h5,s3->s4->s5,4.353,18.759,42.671,25.81,False,False,2
ryu,75,file,h3,h5,s3->s4->s5,5.005,19.054,41.432,23.737,False,False,0
ryu,76,web,h6,h4,s6->s5->s4,0.99,19.438,43.241,22.516,False,False,0
ryu,77,video,h1,h5,s1->s2->s5,5.534,12.689,42.908,22.432,False,False,0
ryu,78,video,h2,h3,s2->s3,1.358,6.222,41.05,21.247,False,False,1
ryu,79,video,h2,h4,s2->s5->s4,2.924,20.816,42.119,23.048,False,False,2
ryu,80,video,h3,h6,s3->s6,2.888,8.464,41.798,25.145,False,False,2
ryu,81,video,h2,h6,s2->s1->s6,5.53,23.159,43.123,18.755,False,False,0
ryu,82,video,h6,h3,s6->s3,4.621,7.068,40.58,20.675,False,False,0
ryu,83,web,h1,h2,s1->s2,1.001,6.725,44.668,20.939,False,False,0
ryu,84,video,h2,h4,s2->s5->s4,5.684,19.145,43.782,19.343,False,False,0
ryu,85,video,h1,h2,s1->s2,5.863,6.422,39.716,20.744,False,False,0
ryu,86,voip,h2,h6,s2->s3->s6,0.111,11.753,40.999,19.511,False,False,0
ryu,87,file,h1,h6,s1->s6,0.436,33.06,42.338,24.743,False,False,1
ryu,88,video,h3,h6,s3->s6,5.531,8.055,41.188,25.036,False,False,1
ryu,89,video,h2,h4,s2->s5->s4,5.306,18.031,42.659,23.898,False,False,1
ryu,90,video,h6,h3,s6->s3,5.862,7.616,41.579,19.367,False,False,0
ryu,91,web,h2,h1,s2->s1,0.984,5.412,42.85,20.174,False,False,0
ryu,92,video,h2,h4,s2->s3->s4,6.041,11.763,37.833,20.974,False,False,0
ryu,93,video,h6,h3,s6->s3,5.519,6.417,34.262,18.654,False,False,0
ryu,94,file,h2,h4,s2->s3->s4,2.409,16.719,40.255,21.278,False,False,1
ryu,95,voip,h1,h6,s1->s2->s3->s6,0.122,15.698,42.329,23.985,False,False,0
ryu,96,video,h2,h5,s2->s5,3.161,9.775,39.85,21.99,False,False,1
ryu,97,video,h2,h4,s2->s3->s4,4.439,14.285,43.372,18.742,False,False,0
ryu,98,voip,h3,h6,s3->s6,0.109,6.695,42.626,20.678,False,False,0
ryu,99,web,h6,h4,s6->s5->s4,0.917,19.224,42.655,20.429,False,False,0
ryu,100,file,h6,h3,s6->s3,13.213,6.819,41.085,18.377,False,False,0
ryu,101,video,h3,h5,s3->s6->s5,4.996,18.726,40.89,18.023,False,False,0
ryu,102,web,h6,h1,s6->s3->s2->s1,0.987,13.518,41.996,22.658,False,False,0
ryu,103,web,h4,h2,s4->s1->s2,0.991,15.255,43.73,22.637,False,False,0
ryu,104,video,h3,h4,s3->s2->s1->s4,5.013,22.792,42.586,18.96,False,False,0
ryu,105,voip,h3,h6,s3->s6,0.115,6.549,42.888,20.559,False,False,0
ryu,106,voip,h4,h6,s4->s3->s6,0.109,14.563,43.161,23.931,False,False,0
ryu,107,voip,h2,h4,s2->s5->s4,0.119,16.995,43.41,21.987,False,False,0
ryu,108,file,h3,h4,s3->s4,9.032,8.398,41.345,19.562,False,False,0
ryu,109,video,h2,h5,s2->s5,5.533,7.126,47.685,19.13,False,False,0
ryu,110,voip,h1,h4,s1->s4,0.11,12.99,45.941,21.92,False,False,0
ryu,111,voip,h4,h2,s4->s3->s2,0.111,11.54,41.486,19.137,False,False,0
ryu,112,file,h1,h3,s1->s2->s3,5.496,10.409,43.601,23.674,False,False,0
ryu,113,file,h2,h4,s2->s3->s4,6.661,12.481,40.829,19.224,False,False,0
ryu,114,file,h2,h4,s2->s3->s4,8.217,13.688,41.661,20.231,False,False,0
ryu,115,voip,h1,h4,s1->s4,0.12,12.128,41.427,18.927,False,False,0
ryu,116,voip,h3,h6,s3->s6,0.11,5.743,43.54,22.007,False,False,0
ryu,117,video,h4,h3,s4->s3,6.075,8.829,40.476,18.109,False,False,0
ryu,118,web,h6,h2,s6->s3->s2,0.881,11.66,43.051,22.543,False,False,1
ryu,119,video,h3,h4,s3->s4,5.408,8.819,42.399,22.38,False,False,1
ryu,120,web,h6,h5,s6->s5,0.69,14.492,34.329,20.653,False,False,1
ryu,121,video,h3,h4,s3->s4,5.458,10.633,39.175,25.658,False,False,1
ryu,122,video,h1,h5,s1->s2->s5,5.649,13.839,40.02,24.715,False,False,1
ryu,123,file,h6,h2,s6->s3->s2,7.687,12.037,39.671,20.398,False,False,0
ryu,124,file,h2,h5,s2->s5,6.482,7.76,42.234,23.384,False,False,0
ryu,125,web,h1,h2,s1->s2,0.886,6.3,42.966,18.706,False,False,0
ryu,126,file,h6,h3,s6->s3,2.453,7.381,40.19,23.021,False,False,1
ryu,127,video,h2,h4,s2->s3->s4,5.699,14.154,41.196,23.711,False,False,1
ryu,128,web,h4,h6,s4->s5->s6,0.935,20.76,42.152,21.026,False,False,0
ryu,129,voip,h2,h1,s2->s1,0.107,5.447,33.909,20.267,False,False,0
ryu,130,voip,h1,h5,s1->s4->s5,0.114,20.577,42.939,23.496,False,False,0
ryu,131,web,h6,h2,s6->s3->s2,0.89,12.161,40.047,22.537,False,False,0
ryu,132,voip,h1,h5,s1->s4->s5,0.12,18.821,31.524,21.013,False,False,0
ryu,133,voip,h3,h5,s3->s4->s5,0.109,16.422,42.526,21.819,False,False,0
ryu,134,video,h3,h5,s3->s2->s5,5.986,10.568,43.121,21.184,False,False,0
ryu,135,video,h4,h5,s4->s5,5.508,12.716,46.339,19.589,False,False,0
ryu,136,file,h3,h6,s3->s6,1.225,7.421,41.917,24.919,False,False,1
ryu,137,video,h2,h5,s2->s5,5.877,7.566,45.975,20.011,False,False,1
ryu,138,web,h6,h3,s6->s1->s4->s3,0.945,38.869,44.079,25.373,True,True,1
ryu,139,web,h6,h3,s6->s1->s4->s3,0.883,38.699,42.632,20.13,False,False,0
ryu,140,video,h5,h3,s5->s6->s3,5.176,16.576,46.227,19.225,False,False,0
ryu,141,video,h2,h1,s2->s1,5.337,5.254,41.374,21.993,False,False,0
ryu,142,video,h3,h4,s3->s4,5.331,9.266,45.495,23.356,False,False,0
ryu,143,file,h5,h6,s5->s2->s3->s6,1.064,21.037,43.073,22.436,False,False,1
ryu,144,video,h4,h3,s4->s3,5.831,7.185,47.654,21.184,False,False,1
ryu,145,video,h2,h4,s2->s5->s4,5.863,18.682,44.774,23.679,False,False,1
ryu,146,voip,h4,h6,s4->s1->s6,0.123,32.689,44.697,20.868,True,True,0
ryu,147,file,h2,h5,s2->s5,7.624,8.992,45.058,20.715,False,False,0
ryu,148,video,h1,h2,s1->s2,5.315,4.394,42.215,22.498,False,False,0
ryu,149,web,h6,h1,s6->s5->s4->s1,0.708,44.299,48.988,29.831,False,False,3
ryu,150,file,h2,h4,s2->s3->s4,11.725,12.566,40.582,25.417,False,False,3
ryu,151,web,h6,h3,s6->s3,0.916,7.776,43.728,29.784,False,False,4
ryu,152,file,h5,h4,s5->s2->s3->s4,1.292,24.139,40.56,26.348,False,False,2
ryu,153,video,h2,h4,s2->s1->s4,0.637,19.869,40.621,29.574,False,False,3
ryu,154,file,h3,h4,s3->s4,4.827,9.163,41.885,22.256,False,False,2
ryu,155,file,h3,h4,s3->s4,5.903,10.889,40.28,25.727,False,False,1
ryu,156,file,h3,h5,s3->s4->s5,4.268,20.66,38.934,18.207,False,False,0
ryu,157,web,h6,h1,s6->s1,0.999,20.155,41.104,19.767,False,False,0
ryu,158,video,h2,h4,s2->s5->s4,5.645,19.642,39.059,22.559,False,False,0
ryu,159,file,h5,h6,s5->s2->s3->s6,0.955,21.836,40.583,26.619,False,False,3
ryu,160,video,h6,h1,s6->s1,1.496,30.992,40.03,26.616,False,False,3
ryu,161,voip,h2,h6,s2->s3->s6,0.107,13.07,40.592,22.574,False,False,2
ryu,162,web,h4,h5,s4->s5,0.696,15.025,39.589,24.891,False,False,1
ryu,163,voip,h2,h1,s2->s1,0.116,6.024,39.797,21.96,False,False,1
ryu,164,web,h6,h2,s6->s3->s2,0.893,12.689,43.625,20.151,False,False,1
ryu,165,video,h2,h4,s2->s1->s4,5.437,18.387,41.212,23.304,True,True,0
ryu,166,voip,h3,h5,s3->s4->s5,0.119,21.203,34.979,21.878,False,False,0
ryu,167,voip,h3,h6,s3->s6,0.121,6.276,41.969,22.452,False,False,0
ryu,168,voip,h2,h1,s2->s1,0.116,5.449,40.022,20.772,False,False,0
ryu,169,voip,h2,h3,s2->s3,0.117,6.118,41.722,23.849,False,False,0
ryu,170,file,h3,h2,s3->s2,5.094,5.597,43.423,20.988,False,False,1
ryu,171,voip,h2,h6,s2->s5->s6,0.109,17.404,41.963,18.641,False,False,0
ryu,172,voip,h1,h4,s1->s4,0.113,11.579,42.112,22.161,False,False,0
ryu,173,file,h1,h6,s1->s6,4.697,23.122,45.345,18.033,False,False,0
ryu,174,web,h4,h6,s4->s5->s6,0.992,21.452,41.918,19.371,False,False,0
ryu,175,web,h6,h5,s6->s5,0.948,10.905,35.268,21.77,False,False,0
ryu,176,video,h1,h5,s1->s2->s5,5.922,11.534,44.073,19.5,False,False,0
ryu,177,voip,h3,h5,s3->s4->s5,0.113,18.556,43.57,23.581,False,False,0
ryu,178,voip,h3,h6,s3->s6,0.121,5.095,43.33,18.638,False,False,0
ryu,179,file,h2,h4,s2->s3->s4,13.241,12.496,41.131,20.089,False,False,0
ryu,180,video,h2,h4,s2->s1->s4,3.705,19.413,44.525,23.688,False,False,0
ryu,181,web,h2,h1,s2->s1,1.02,5.069,43.906,21.684,False,False,0
ryu,182,video,h4,h6,s4->s3->s6,5.658,14.892,43.418,20.113,False,False,0
ryu,183,video,h4,h3,s4->s1->s2->s3,5.354,22.119,41.624,19.313,False,False,0
ryu,184,video,h2,h6,s2->s5->s6,4.95,18.819,40.835,21.853,False,False,0
ryu,185,web,h2,h3,s2->s3,0.977,5.67,44.57,20.816,False,False,0
ryu,186,voip,h6,h4,s6->s3->s4,0.106,13.59,50.596,19.687,False,False,0
ryu,187,file,h2,h4,s2->s3->s4,8.974,12.59,45.722,21.956,False,False,0
ryu,188,file,h2,h4,s2->s3->s4,9.874,11.481,50.591,22.704,False,False,0
ryu,189,web,h4,h2,s4->s1->s2,0.979,16.58,42.122,18.432,False,False,0
ryu,190,video,h4,h6,s4->s3->s6,6.049,13.843,41.502,20.712,False,False,0
ryu,191,voip,h4,h5,s4->s5,0.123,10.776,41.427,23.41,False,False,0
ryu,192,voip,h4,h5,s4->s5,0.115,9.817,43.302,18.472,False,False,0
ryu,193,file,h1,h5,s1->s2->s5,2.951,12.979,42.252,20.351,False,False,1
ryu,194,file,h3,h4,s3->s4,10.346,7.836,42.037,22.408,False,False,0
ryu,195,voip,h3,h6,s3->s6,0.115,6.493,41.609,20.795,False,False,0
ryu,196,web,h6,h3,s6->s1->s4->s3,0.975,38.484,40.27,21.658,False,False,0
ryu,197,web,h3,h1,s3->s2->s1,0.885,11.216,42.613,21.752,False,False,0
ryu,198,voip,h2,h4,s2->s5->s4,0.115,17.187,43.107,19.264,False,False,0
ryu,199,file,h6,h3,s6->s3,16.463,6.015,40.396,22.966,False,False,0
ryu,200,web,h6,h3,s6->s3,0.932,6.716,32.087,20.953,False,False,0
ryu,201,file,h2,h5,s2->s5,8.114,8.71,44.072,18.525,False,False,0
ryu,202,video,h5,h4,s5->s4,4.748,11.773,42.164,20.85,False,False,0
ryu,203,voip,h5,h6,s5->s6,0.118,9.682,42.027,23.258,False,False,0
ryu,204,file,h3,h4,s3->s4,11.852,8.214,32.073,23.215,False,False,0
ryu,205,video,h6,h3,s6->s3,6.065,4.604,30.656,19.856,False,False,0
ryu,206,web,h2,h4,s2->s3->s4,0.976,11.425,43.397,18.328,False,False,0
ryu,207,voip,h1,h4,s1->s4,0.107,11.055,43.163,21.563,False,False,0
ryu,208,file,h2,h4,s2->s3->s4,3.805,14.148,43.201,21.761,False,False,0
ryu,209,voip,h2,h3,s2->s3,0.123,6.109,45.8,19.309,False,False,0
ryu,210,file,h3,h6,s3->s6,17.546,5.107,45.837,22.465,False,False,0
ryu,211,video,h6,h2,s6->s5->s2,4.74,20.182,44.434,23.34,False,False,0
ryu,212,voip,h1,h6,s1->s2->s3->s6,0.12,13.81,41.033,19.866,False,False,0
ryu,213,voip,h4,h5,s4->s5,0.119,12.121,43.848,18.999,False,False,0
ryu,214,voip,h6,h2,s6->s3->s2,0.114,10.26,40.343,22.529,False,False,0
ryu,215,web,h1,h2,s1->s2,0.978,5.217,46.949,21.599,False,False,0
ryu,216,file,h1,h2,s1->s2,9.721,5.942,43.291,20.324,False,False,0
ryu,217,file,h6,h3,s6->s3,16.409,5.056,43.088,20.535,False,False,0
ryu,218,web,h1,h3,s1->s2->s3,0.966,11.921,42.94,25.107,False,False,1
ryu,219,file,h4,h3,s4->s5->s6->s3,0.72,34.344,42.902,28.501,False,False,3
ryu,220,voip,h5,h1,s5->s2->s1,0.11,11.798,45.507,28.75,False,False,3
ryu,221,video,h2,h5,s2->s5,5.975,8.253,41.988,25.478,False,False,2
ryu,222,web,h5,h3,s5->s2->s3,0.912,13.863,42.197,26.835,False,False,2
ryu,223,file,h3,h2,s3->s4->s1->s2,6.975,23.104,43.887,21.478,True,True,1
ryu,224,video,h1,h3,s1->s4->s3,0.873,25.896,42.818,27.117,False,False,3
ryu,225,voip,h4,h6,s4->s1->s6,0.121,37.529,41.229,25.403,True,True,2
ryu,226,web,h1,h2,s1->s2,0.947,4.769,41.639,25.652,False,False,2
ryu,227,voip,h4,h6,s4->s3->s6,0.109,15.568,40.176,22.306,True,True,2
ryu,228,web,h4,h6,s4->s3->s6,0.916,18.355,41.777,22.54,False,False,2
ryu,229,file,h6,h3,s6->s1->s2->s3,6.114,32.035,40.544,22.69,True,True,1
ryu,230,web,h6,h4,s6->s5->s4,0.886,22.421,40.201,22.112,False,False,1
ryu,231,web,h1,h3,s1->s2->s3,0.993,8.902,43.018,22.061,False,False,0
ryu,232,web,h6,h5,s6->s5,0.896,12.466,40.043,19.542,False,False,0
ryu,233,video,h2,h1,s2->s1,5.495,4.535,41.265,22.066,False,False,0
ryu,234,voip,h4,h5,s4->s5,0.106,10.878,45.233,19.323,False,False,0
ryu,235,web,h6,h2,s6->s3->s2,0.938,11.96,40.017,18.451,False,False,0
ryu,236,video,h2,h4,s2->s5->s4,2.21,20.79,41.006,22.282,False,False,0
ryu,237,voip,h2,h3,s2->s3,0.11,4.472,43.975,20.007,False,False,0
